text,count
int,37
a,177
biochemical,1
landscape,3
violent,1
electrical,1
storm,2
veins,2
of,116
light,13
pulse,4
outward,3
branching,2
off,15
into,42
spidery,3
network,4
glowing,5
interconnectedness,3
we,28
are,16
inside,13
human,2
brain,13
pack,1
neurons,2
fire,2
to,81
the,422
left,3
and,67
rocket,1
their,11
way,5
across,11
synapses,1
optic,2
nerve,1
passing,2
eye,3
socket,3
they,26
speed,7
toward,8
silky,1
curvilinear,1
membrane,2
retina,1
on,78
which,3
see,12
an,25
image,3
projected,1
upside,1
down,15
computer,8
screen,9
ping,1
picture,4
suddenly,11
flips,2
right,6
side,6
up,37
follow,2
flashing,2
in,81
blur,1
through,10
iris,1
cornea,1
until,5
exiting,2
reverse,3
pov,8
ext,24
world,4
as,37
know,6
it,47
day,23
close,8
pair,1
eyes,28
deep,4
blue,3
radiating,1
more,4
intelligence,1
than,4
wisdom,1
each,4
pupil,2
is,37
reflection,2
deferential,1
voice,41
sounds,5
from,44
camera,7
professor,2
pentcho,158
atomic,3
laboratories,2
paul,10
twenty,4
nine,3
athletic,1
owlishly,1
handsome,1
arlette,9
multi,2
tasking,2
again,5
raises,2
his,85
at,39
s,85
mannish,1
swiss,2
assistant,1
can,9
start,3
descent,1
now,10
moving,3
series,2
shots,1
stride,1
facility,2
pass,1
group,1
green,1
tagged,1
visitors,1
accented,1
guide,4
two,13
hundred,4
feet,2
below,5
us,1
largest,1
particle,4
accelerator,2
continues,1
overlap,3
reach,1
hallway,1
oc,5
cont,25
d,27
kilometers,1
circumference,1
beam,8
pipe,6
actually,1
runs,4
beneath,3
borders,1
switzerland,1
france,1
did,11
you,55
get,2
that,19
data,2
braverman,1
cal,1
tech,1
facing,1
capsule,5
elevator,2
leads,1
tunnel,3
done,2
next,4
plants,1
dying,1
pots,1
growing,1
lamps,1
looks,12
around,7
finds,1
plug,2
pushes,3
lights,4
glow,6
he,52
peers,2
leaf,1
tiny,3
bug,2
crawls,1
moment,4
impact,4
electrons,6
travelling,2
six,4
sixty,3
million,2
miles,3
per,3
need,2
progress,1
breaks,1
out,31
swipes,1
i,49
card,1
doors,2
whoosh,2
open,11
nods,3
man,11
this,14
jacque,8
accent,1
heavily,2
italian,1
hey,2
p,4
o,1
professore,2
paulo,1
not,7
official,1
nickname,1
who,8
blushes,1
sits,6
consoled,1
captain,1
chair,2
beh,1
eets,1
just,6
tun,1
nel,1
humor,1
giant,5
lab,1
disappears,3
sight,3
drop,1
stories,1
earth,1
recalibrate,1
k,1
turn,3
hit,1
bottom,2
keys,1
console,3
moves,3
laterally,1
track,2
parallel,1
stopping,1
front,12
rf,2
cavity,2
bursting,2
with,25
billion,2
dollars,1
worth,1
nanotechnology,1
give,1
me,15
angle,1
control,1
bounce,1
benissimo,1
little,2
bored,1
manning,1
fifteen,1
seconds,2
field,14
surges,3
forward,8
double,4
click,12
draw,3
itself,1
empty,1
page,2
black,2
dot,1
looping,3
string,2
accompanied,2
by,21
following,1
thought,7
text,8
spatially,1
separated,2
particles,4
will,22
irresistibly,1
attract,1
mouse,3
woman,15
face,13
wide,4
set,4
brown,4
brimming,1
emotion,2
hint,1
song,2
playing,3
somewhere,4
bg,3
previous,1
where,6
loop,1
has,8
formed,1
sheet,1
space,3
followed,1
floating,3
force,1
collision,4
fuses,1
them,8
ten,3
eight,2
looking,8
straight,7
